feature,description
location_city_Bothell,One-hot encoded location_city category 'Bothell'.
location_city_Burien,One-hot encoded location_city category 'Burien'.
location_city_Capitol Hill,One-hot encoded location_city category 'Capitol Hill'.
location_city_Daly City,One-hot encoded location_city category 'Daly City'.
location_city_Doral,One-hot encoded location_city category 'Doral'.
location_city_Downtown Long Beach,One-hot encoded location_city category 'Downtown Long Beach'.
location_city_Downtown Seattle,One-hot encoded location_city category 'Downtown Seattle'.
location_city_East Palo Alto,One-hot encoded location_city category 'East Palo Alto'.
location_city_Edmonds,One-hot encoded location_city category 'Edmonds'.
location_city_Emerald Hills,One-hot encoded location_city category 'Emerald Hills'.
location_city_Exeter,One-hot encoded location_city category 'Exeter'.
location_city_Foster City,One-hot encoded location_city category 'Foster City'.
location_city_Fremont,One-hot encoded location_city category 'Fremont'.
location_city_Hallandale Beach City Center,One-hot encoded location_city category 'Hallandale Beach City Center'.
location_city_Hanford,One-hot encoded location_city category 'Hanford'.
location_city_Judkins Park,One-hot encoded location_city category 'Judkins Park'.
location_city_Kenmore,One-hot encoded location_city category 'Kenmore'.
location_city_Kingston,One-hot encoded location_city category 'Kingston'.
location_city_Lake Forest Park,One-hot encoded location_city category 'Lake Forest Park'.
location_city_Long Beach,One-hot encoded location_city category 'Long Beach'.
location_city_Lynnwood,One-hot encoded location_city category 'Lynnwood'.
location_city_Menlo Park,One-hot encoded location_city category 'Menlo Park'.
location_city_Miami,One-hot encoded location_city category 'Miami'.
location_city_Mountain View,One-hot encoded location_city category 'Mountain View'.
location_city_North Miami Beach,One-hot encoded location_city category 'North Miami Beach'.
location_city_Palo Alto,One-hot encoded location_city category 'Palo Alto'.
location_city_Pike-Market,One-hot encoded location_city category 'Pike-Market'.
location_city_Porterville,One-hot encoded location_city category 'Porterville'.
location_city_Queen Anne,One-hot encoded location_city category 'Queen Anne'.
location_city_Redwood City,One-hot encoded location_city category 'Redwood City'.
location_city_Renton,One-hot encoded location_city category 'Renton'.
location_city_Sammamish,One-hot encoded location_city category 'Sammamish'.
location_city_San Bruno,One-hot encoded location_city category 'San Bruno'.
location_city_San Carlos,One-hot encoded location_city category 'San Carlos'.
location_city_San Francisco,One-hot encoded location_city category 'San Francisco'.
location_city_San Jose,One-hot encoded location_city category 'San Jose'.
location_city_San Mateo,One-hot encoded location_city category 'San Mateo'.
location_city_Santa Clara,One-hot encoded location_city category 'Santa Clara'.
location_city_Seal Beach,One-hot encoded location_city category 'Seal Beach'.
location_city_Seattle,One-hot encoded location_city category 'Seattle'.
location_city_Selma,One-hot encoded location_city category 'Selma'.
location_city_Shoreline,One-hot encoded location_city category 'Shoreline'.
location_city_Snohomish,One-hot encoded location_city category 'Snohomish'.
location_city_South Lake Tahoe,One-hot encoded location_city category 'South Lake Tahoe'.
location_city_Springville,One-hot encoded location_city category 'Springville'.
location_city_Stateline,One-hot encoded location_city category 'Stateline'.
location_city_Sunnyvale,One-hot encoded location_city category 'Sunnyvale'.
location_city_Three Rivers,One-hot encoded location_city category 'Three Rivers'.
location_city_Town Center Mountlake Terrace,One-hot encoded location_city category 'Town Center Mountlake Terrace'.
location_city_Tulare,One-hot encoded location_city category 'Tulare'.
location_city_Visalia,One-hot encoded location_city category 'Visalia'.
location_city_West Seattle,One-hot encoded location_city category 'West Seattle'.
location_city_Woodinville,One-hot encoded location_city category 'Woodinville'.
location_city_Zephyr Cove,One-hot encoded location_city category 'Zephyr Cove'.
location_postal_prefix_unknown,One-hot encoded location_postal_prefix category 'unknown'.
geo_bucket_0.00_0.00,One-hot encoded geo_bucket category '0.00_0.00'.
month_apr,One-hot encoded month category 'apr'.
month_mar,One-hot encoded month category 'mar'.
day_of_week_fri,One-hot encoded day_of_week category 'fri'.
day_of_week_mon,One-hot encoded day_of_week category 'mon'.
day_of_week_sat,One-hot encoded day_of_week category 'sat'.
day_of_week_sun,One-hot encoded day_of_week category 'sun'.
day_of_week_thu,One-hot encoded day_of_week category 'thu'.
day_of_week_tue,One-hot encoded day_of_week category 'tue'.
day_of_week_wed,One-hot encoded day_of_week category 'wed'.
day_of_month_bucket_month_end,One-hot encoded day_of_month_bucket category 'month_end'.
day_of_month_bucket_week_1,One-hot encoded day_of_month_bucket category 'week_1'.
day_of_month_bucket_week_2,One-hot encoded day_of_month_bucket category 'week_2'.
day_of_month_bucket_week_3,One-hot encoded day_of_month_bucket category 'week_3'.
day_of_month_bucket_week_4,One-hot encoded day_of_month_bucket category 'week_4'.
lead_time_bucket_days_15_30,One-hot encoded lead_time_bucket category 'days_15_30'.
lead_time_bucket_days_1_3,One-hot encoded lead_time_bucket category 'days_1_3'.
lead_time_bucket_days_31_plus,One-hot encoded lead_time_bucket category 'days_31_plus'.
lead_time_bucket_days_4_7,One-hot encoded lead_time_bucket category 'days_4_7'.
lead_time_bucket_days_8_14,One-hot encoded lead_time_bucket category 'days_8_14'.
lead_time_bucket_same_day,One-hot encoded lead_time_bucket category 'same_day'.
holiday_window_type_regular,One-hot encoded holiday_window_type category 'regular'.
debug_price_date,Debug-only raw field kept for inspection; not used by model training.
debug_observed_at_date,Debug-only raw field kept for inspection; not used by model training.
debug_first_seen_date,Debug-only raw field kept for inspection; not used by model training.
debug_source_type,Debug-only raw field kept for inspection; not used by model training.
debug_source_report_id,Debug-only raw field kept for inspection; not used by model training.
debug_source_listing_id,Debug-only raw field kept for inspection; not used by model training.
debug_source_comp_id,Debug-only raw field kept for inspection; not used by model training.
debug_airbnb_listing_id,Debug-only raw field kept for inspection; not used by model training.
last_nightly_price,Target value for supervised training: competitor nightly price.
